id,codorigem,munorigem,coddest,mundest,VAR01
2747,2204907,ISAÍAS COELHO,2208007,PICOS,1
14283,3556701,Vinhedo,3550308,São Paulo,1
19122,5102850,CASTANHEIRA,5103403,Cuiabá,2
14335,3528403,MAIRINQUE,3550605,São Roque,4
2726,2206357,MILTON BRANDÃO,2207900,Pedro II,2
12439,3525300,Jaú,3506003,Bauru,3
15521,4103800,CAMBIRA,4115200,Maringá,1
16482,4217808,Taió,4205407,Florianópolis,1
4815,2500205,AGUIAR,2507507,João Pessoa,1
6924,2920106,MAIRI,2906006,Campo Formoso,1
19,1100148,Nova Brasilândia d'Oeste,1100049,Cacoal,2
9339,3127602,GOUVEIA,3120904,Curvelo,1
3750,2305332,Ibicuitinga,2311306,Quixadá,5
14315,3542602,Registro,3550336,São Paulo,1
16648,4203600,CAMPOS NOVOS,4209300,Lages,1
16132,4218608,TROMBUDO CENTRAL,4202404,Blumenau,1
5479,2613602,SÃO JOSÉ DO EGITO,2604106,Caruaru,1
16833,4200606,Águas Mornas,4216602,São José,2
3456,2307304,Juazeiro do Norte,2304403,Fortaleza,1
18685,4311775,MAQUINÉ,4323002,Viamão,1
4219,2413359,SERRA DO MEL,2408003,Mossoró,5
8990,3122470,DOM BOSCO,3108206,Bonfinópolis de Minas,1
6093,2606408,Gravatá,2616407,Vitória de Santo Antão,3
8318,2918308,JITAÚNA,2933307,Vitória da Conquista,1
9785,3113503,CARBONITA,3132503,Itamarandiba,2
1645,2104503,GOVERNADOR ARCHER,2103000,Caxias,1
11477,3200300,ALFREDO CHAVES,3200300,Alfredo Chaves,1
3071,2209955,SÃO JOÃO DA VARJOTA,2211001,Teresina,2
12984,3503901,ARUJÁ,3523107,ITAQUAQUECETUBA,1
18073,4316907,Santa Maria,4314902,Porto Alegre,5
11459,3201159,BREJETUBA,3200102,Afonso Cláudio,2
13220,3546405,SANTA CRUZ DO RIO PARDO,3529005,Marília,2
19965,5200159,ADELÂNDIA,5210000,INHUMAS,1
4548,2515104,SÃO SEBASTIÃO DE LAGOA DE ROÇA,2501104,AREIA,1
8754,3142908,Monte Azul,3106200,Belo Horizonte,2
20210,5212253,LAGOA SANTA,5218508,QUIRINÓPOLIS,2
3349,2302503,Brejo Santo,2304400,Fortaleza,1
1887,2107456,OLINDA NOVA DO MARANHÃO,2108306,Penalva,1
19497,5207501,ESTRELA DO NORTE,5201108,Anápolis,1
8543,3129400,Ibertioga,3105608,Barbacena,5
10666,3103108,ANTÔNIO PRADO DE MINAS,3152105,Ponte Nova,1
19400,5104542,Itanhangá,5107909,Sinop,1
1006,1600808,VITÓRIA DO JARI,1600279,Laranjal do Jari,2
13639,3542602,REGISTRO,3542602,Registro,6
10201,3143005,MONTE BELO,3143005,Monte Belo,1
701,1502301,CAPITÃO POÇO,1502400,Castanhal,1
6773,2903409,BELMONTE,2903409,Belmonte,2
3658,2306504,ITAPIÚNA,2307650,Maracanaú,1
12586,3512209,CONCHAL,3509502,Campinas,1
14126,3525003,Jandira,3550308,São Paulo,2
5872,2606705,Ibirajuba,2611606,Recife,1
3084,2210623,SEBASTIÃO BARROS,2211001,Teresina,1
1795,2105500,JOÃO LISBOA,2105302,Imperatriz,6
16533,4205704,GAROPABA,4207304,Imbituba,3
6595,2806602,Santo Amaro das Brotas,2804003,Maruim,2
8447,3148707,Pedra Azul,3101706,Almenara,2
2797,2205854,Madeiro,2208403,Piripiri,1
8558,3105905,BARROSO,3105905,Barroso,1
9299,3119104,CORINTO,3119104,Corinto,2
16953,4212403,PEDRAS GRANDES,4218707,TUBARÃO,6
11301,3148103,Patrocínio,3170107,Uberaba,1
6312,2709004,TANQUE D'ARCA,2706307,PALMEIRA DOS ÍNDIOS,4
3509,2313708,UMARI,2305704,Ipaumirim,1
19996,5203104,Baliza,5210208,Iporá,2
5034,2507002,Itaporanga,2510808,Patos,2
1025,1600709,Tartarugalzinho,1600303,Macapá,6
5367,2602308,BONITO,2601904,Bezerros,1
5217,2502300,Bom Sucesso,2516201,Sousa,2
4951,2514453,SÃO JOSÉ DOS RAMOS,2507507,João Pessoa,2
18583,4321667,TRÊS CACHOEIRAS,4321501,Torres,4
19524,5214705,NOVA AMÉRICA,5201108,Anápolis,1
1250,1710706,ITAGUATINS,1710706,Itaguatins,1
12524,3536802,PEDRA BELA,3507605,Bragança Paulista,6
15770,4121752,RESERVA DO IGUAÇU,4119301,Pinhão,1
3531,2310258,PARAIPABA,2306306,ITAPAGÉ,1
19753,5203962,BURITINÓPOLIS,5208707,Goiânia,1
8950,3128105,GUAPÉ,3107109,Boa Esperança,1
12106,3305802,Teresópolis,3305802,Teresópolis,6
4364,2411429,SANTANA DO SERIDÓ,2408904,Parelhas,2
11549,3202504,IBIRAÇU,3201506,Colatina,1
1799,2107258,NOVA COLINAS,2105302,Imperatriz,1
15816,4117602,PALMAS,4119905,Ponta Grossa,1
3583,2301802,BAIXIO,2307304,Juazeiro do Norte,1
7413,2914653,ITABELA,2914653,Itabela,2
2990,2205540,LAGOINHA DO PIAUÍ,2211001,Teresina,3
14874,4117214,NOVA SANTA BÁRBARA,4106407,CORNÉLIO PROCÓPIO,2
16356,4215604,SANTA ROSA DE LIMA,4204608,Criciúma,1
10547,3171907,VIRGOLÂNDIA,3148608,Peçanha,2
9455,3123205,DORES DO INDAIÁ,3123205,Dores do Indaiá,2
7797,2927101,Rodelas,2924009,Paulo Afonso,5
17611,4311304,LAGOA VERMELHA,4311304,Lagoa Vermelha,5
9268,3127305,GALILÉIA,3118403,Conselheiro Pena,1
8836,3158003,SANTA MARIA DE ITABIRA,3106200,Belo Horizonte,1
11033,3167806,SOLEDADE DE MINAS,3163706,São Lourenço,4
19285,5106000,NORTELÂNDIA,5106000,NORTELÂNDIA,1
8457,3102308,ALVINÓPOLIS,3102308,Alvinópolis,1
17234,4316105,Ronda Alta,4304705,Carazinho,3
18642,4318002,SÃO BORJA,4322400,URUGUAIANA,5
11990,3301603,Duas Barras,3304557,Rio de Janeiro,1
3569,2310803,PEREIRO,2306900,JAGUARIBE,1
11166,3126752,FRANCISCÓPOLIS,3168606,Teófilo Otoni,6
17508,4320321,SENADOR SALGADO FILHO,4309001,Giruá,2
2510,2201101,AVELINO LOPES,2203909,Floriano,1
6484,2806107,ROSÁRIO DO CATETE,2800308,Aracaju,5
4458,2408300,NOVA CRUZ,2411502,Santo Antônio,1
17745,4301636,Balneário Pinhal,4313508,Osório,2
14757,4116703,Nova Aurora,4104808,Cascavel,3
19756,5204250,CACHOEIRA DOURADA,5208707,Goiânia,1
13172,3537156,PEDRINHAS PAULISTA,3528809,Maracaí,1
12431,3518107,GUARANTÃ,3506003,Bauru,1
12701,3502705,Apiaí,3510203,Capão Bonito,1
17680,4302659,Brochier,4312401,Montenegro,4
903,1507102,São Caetano de Odivelas,1506500,Santa Isabel do Pará,1
15697,4118105,PARANACITY,4118105,Paranacity,1
14560,4106852,CRUZMALTINA,4101408,Apucarana,3
19166,5106224,Nova Mutum,5103403,Cuiabá,3
17138,4318804,São Lourenço do Sul,4303509,Camaquã,1
6995,2902104,Araci,2908408,Conceição do Coité,1
3599,2308104,Mauriti,2307304,Juazeiro do Norte,4
5011,2515203,SÃO SEBASTIÃO DO UMBUZEIRO,2509701,Monteiro,4
12249,3518909,GUZOLÂNDIA,3502804,Araçatuba,1
10753,3110608,CAMBUÍ,3152501,Pouso Alegre,4
2775,2211506,VERA MENDES,2208007,PICOS,5
19674,5207600,FAZENDA NOVA,5207600,Fazenda Nova,1
9707,3121803,DIONÍSIO,3131307,Ipatinga,2
14444,3554003,TATUÍ,3554003,TATUÍ,5
12720,3510609,CARAPICUÍBA,3510609,Carapicuíba,3
240,1200708,XAPURI,1200708,Xapuri,1
1210,1700350,Aliança do Tocantins,1709500,Gurupi,6
19277,5106752,Pontes e Lacerda,5105622,Mirassol d'Oeste,1
11594,3204203,PIÚMA,3202603,Iconha,1
5035,2507804,Junco do Seridó,2510808,Patos,3
6105,2700706,BATALHA,2700300,Arapiraca,5
1303,1707207,DOIS IRMÃOS DO TOCANTINS,1716109,PARAÍSO DO TOCANTINS,1
13468,3511706,Charqueada,3538709,Piracicaba,6
17322,4312179,MATO QUEIMADO,4305207,Cerro Largo,1
8405,3166402,SERITINGA,3101201,Aiuruoca,1
4513,2503001,CAAPORÃ,2500601,Alhandra,1
5731,2605301,Exu,2609907,Ouricuri,3
